,text
1926,"<|endoftext|>Ariel began fencing in 2006. If she was born in 1992 and has been fencing for 16 years, how old is she now?: If Ariel was born in 1992, she started fencing when she was 2006-1992 = <<14=14>>14 years old.
Since she's been fencing for 16 years now, Ariel is 14+16 = <<14+16=30>>30 years old.
#### 30<|endoftext|>"
1927,"<|endoftext|>James buys a jar of hot sauce.   Each serving is .5 ounces.  He uses 3 servings every day.  if the container is 2 ounces less than 1 quart how many days will it last?: A quart is 32 ounces so this jar is 32-2=<<32-2=30>>30 ounces
James uses 3*.5=<<3*.5=1.5>>1.5 ounces a day
So it last 30/1.5=<<30/1.5=20>>20 day
#### 20<|endoftext|>"
1928,"<|endoftext|>The pizzeria sells small pizzas for $2 and large pizzas for $8. They sold $40 in pizzas. If they sold 8 small pizzas, how many large pizzas did they sell?: They earned 8*2= $<<8*2=16>>16 from the small pizzas
The large pizzas earned 40-16=$<<40-16=24>>24
They sold 24/8= <<24/8=3>>3 large Pizzas
#### 3<|endoftext|>"
1929,"<|endoftext|>Alannah, Beatrix, and Queen are preparing for the new school year and have been given books by their parents. Alannah has 20 more books than Beatrix. Queen has 1/5 times more books than Alannah. If Beatrix has 30 books, how many books do the three have together?: If Beatrix has 30 books, Alannah has 30 books + 20 books = <<30+20=50>>50 books.
Queen has 1/5 * 50 books = <<1/5*50=10>>10 more books than Alannah.
The total number of books Queen has is 50 books + 10 books = <<50+10=60>>60 books.
All three have 60 books + 50 books + 30 books = <<60+50+30=140>>140 books together
#### 140<|endoftext|>"
1930,"<|endoftext|>Martha is knitting winter clothes for her 3 grandchildren, who are all the same size (identical triplets.) Each set of clothes consists of a woolen hat, a scarf, a sweater, a pair of mittens, and a pair of wooly socks. She can knit a hat in 2 hours. A scarf takes her 3 hours. Each mitten takes her about an hour to knit. A sock takes an hour and a half. Each sweater takes her 6 hours. How long will it take her to knit all the outfits?: A pair of mittens takes 1 hour per mitten * 2 mittens = <<1*2=2>>2 hours.
A pair of socks takes 1.5 hours per sock * 2 socks = <<1.5*2=3>>3 hours.
So a complete outfit for each child takes 2 hours per hat + 3 hours per scarf + 2 hours per pair of mittens + 3 hours per pair of socks + 6 hours per sweater = <<2+3+2+3+6=16>>16 hours per outfit.
So to knit winter outfits for all three of her grandchildren, Martha will take 3 outfits * 16 hours per outfit = <<3*16=48>>48 hours.
#### 48<|endoftext|>"
1931,"<|endoftext|>Jeff has a shelter where he currently takes care of 20 cats. On Monday he found 2 kittens in a box and took them to the shelter. On Tuesday he found 1 more cat with a leg injury. On Wednesday 3 people adopted 2 cats each. How many cats does Jeff currently have in his shelter?: Counting the cats he had, the kittens he found, and the injured cat, Jeff had a total of 20 + 2 + 1 = <<20+2+1=23>>23 cats.
3 people took a total of 3 * 2 = <<3*2=6>>6 cats.
After Wednesday, Jeff was left with 23 - 6 = <<23-6=17>>17 cats.
#### 17<|endoftext|>"
1932,"<|endoftext|>Christopher uses 1 packet of a sugar substitute in his coffee.  He has 2 coffees a day.  The packets come 30 to a box and cost $4.00 a box.  How much will it cost him to have enough sugar substitutes to last him 90 days?: He uses 1 packet per cup of coffee and he has 2 cups a day so that's 1*2 = <<1*2=2>>2 packets
He wants enough to last him 90 days and he uses 2 packets a day so that's 90*2 = <<90*2=180>>180 packets
The packets come 30 to a box and he needs 180 packets so that's 180/30 = <<180/30=6>>6 boxes of sugar substitute
Each box costs $4.00 and he needs 6 boxes so that's 4*6 = $<<4*6=24.00>>24.00
#### 24<|endoftext|>"
1933,"<|endoftext|>Rachel is twice as old as Rona and Collete's age is half the age of Rona's. If Rona is 8 years old, what is the difference between the age of Collete and Rachel?: Rachel's age is 8 x 2 = <<8*2=16>>16.
Collete's age is 8 / 2 = <<8/2=4>>4.
Therefore the difference between their age is 16 - 4 = <<16-4=12>>12.
#### 12<|endoftext|>"
1934,"<|endoftext|>Samantha bought a crate of 30 eggs for $5. If she decides to sell each egg for 20 cents, how many eggs will she have left by the time she recovers her capital from the sales?: There are 100 cents in each $1 so $5 gives 5*100 cents = <<5*100=500>>500 cents
To recover her capital of 500 cents from a selling price of 20 cents per egg she has to sell 500/20 = <<500/20=25>>25 eggs
There were 30 eggs in the crate to start with so she will have 30-25 = <<30-25=5>>5 eggs left
#### 5<|endoftext|>"
1935,"<|endoftext|>Martin went on an eight-hour business trip. During the first half of the trip, he traveled at a speed of 70 kilometers per hour and during the second half at a speed of 85 kilometers per hour. How many kilometers did he travel during the journey?: Half of the trip lasts for 8 * 0.5 = <<8*0.5=4>>4 hours.
During the first half, Martin did 4 * 70 = <<4*70=280>>280 kilometers.
And during the second half 4 * 85 = <<4*85=340>>340 kilometers.
In total Martin traveled 280 + 340 = <<280+340=620>>620 kilometers during his business trip.
#### 620<|endoftext|>"
1936,"<|endoftext|>When Betty makes cheesecake, she sweetens it with a ratio of one part sugar to four parts cream cheese, and she flavors it with one teaspoon of vanilla for every two cups of cream cheese. For every one teaspoon of vanilla, she uses two eggs. She used two cups of sugar in her latest cheesecake. How many eggs did she use?: Betty used 2 cups of sugar in her cheesecake, so she used 2 * 1 = <<2*1=2>>2 times her ratio.
Thus, she used 2 * 4 = <<2*4=8>>8 cups of cream cheese.
She uses 1 teaspoon of vanilla for 2 cups of cream cheese, so she used 8 / 2 = 4 teaspoons of vanilla.
For each teaspoon of vanilla, she uses 2 eggs, so she used 2 * 4 = <<2*4=8>>8 eggs.
#### 8<|endoftext|>"
1937,"<|endoftext|>Peggy fell off her bike and skinned her knees.  She needed two bandages on her left knee and three bandages on her right knee.  If the box of bandages had 8 less than two dozen bandages before Peggy skinned her knees, how many bandages were left in the box after Peggy finished putting bandages on her knees?: Two dozen is 12*2=<<12*2=24>>24.
Eight less than two dozen bandages is 24-8=<<24-8=16>>16 bandages.
She needed two bandages on her left knee and three bandages on her right knee for a total of 2+3=<<2+3=5>>5 bandages.
Therefore, after Peggy finished putting bandages on her knees there were 16-5=<<16-5=11>>11 bandages remaining in the box.
#### 11<|endoftext|>"
1938,"<|endoftext|>Mr. Alvarez spends $36 on diesel fuel each week. If the cost of diesel fuel is $3 per gallon, how many gallons of diesel fuel does Mr. Alvarez use in two weeks?: In a week, Mr. Alvarez uses $36/$3 = <<36/3=12>>12 gallons a week.
So in two weeks, he uses 12 x 2 = <<12*2=24>>24 gallons.
#### 24<|endoftext|>"
1939,"<|endoftext|>A man owned 1/2 of a lot. He sold 1/10 of his share for the amount of $460. What is the worth of the entire lot?: If 1/10 of the man's lot is equal to $460, then the man's land is worth $460 x 10 = $<<460*10=4600>>4600.
Since 1/2 of the whole lot is worth $4600, then the whole lot is worth $4600 x 2 = $<<4600*2=9200>>9200.
#### 9200<|endoftext|>"
1940,"<|endoftext|>Robie bought 3 bags of chocolates. She gave the 2 bags to her brothers and sisters then bought another 3 bags. How many bags of chocolates were left?: She was left with 3 - 2= <<3-2=1>>1 bag of chocolate after she gave 2 bags to her brother and sisters.
Therefore, the total number of bags of chocolates left after buying another 3 is 1 + 3= <<1+3=4>>4.
#### 4<|endoftext|>"
1941,"<|endoftext|>It takes Derek 9 minutes to walk a mile if he doesn't have to walk with his brother. If he has to take his brother it takes 12 minutes to walk a mile. How many minutes longer would it take him to walk 20 miles if he had to take his brother?: Alone it would take him 9*20=<<9*20=180>>180 minutes
With his brother, it would take him 12*20=<<12*20=240>>240 minutes
240-180=<<240-180=60>>60 more minutes
#### 60<|endoftext|>"
1942,"<|endoftext|>A school choir needs robes for each of its 30 singers. Currently, the school has only 12 robes so they decided to buy the rest. If each robe costs $2, how much will the school spend?: The school needs to buy 30 - 12 = <<30-12=18>>18 robes.
So the school will spend 18 x $2 = $<<18*2=36>>36.
#### 36<|endoftext|>"
1943,"<|endoftext|>At the circus, the clown has 3 dozen balloons on a string in his hand.  3 boys and 12 girls buy a balloon each.  How many balloons is the clown still holding?: The clown is holding 3 x 12 = <<3*12=36>>36 balloons.
This many children buy a balloon: 3 + 12 = <<3+12=15>>15 kids.
After the children buy the balloons, the clown is holding this many in his hand 36 - 15 = <<36-15=21>>21 balloons.
#### 21<|endoftext|>"
1944,"<|endoftext|>Suzie and 5 of her friends decide to rent an Airbnb at Lake Tahoe for 4 days from Thursday to Sunday. The rental rate for weekdays is $420 per day. The weekend rental rate is $540 per day. They all decide to split the rental evenly. How much does each person have to pay?: The cost of the rental for Thursday and Friday comes to $420 * 2 = $<<420*2=840>>840.
The cost of the rental for Saturday and Sunday comes to $540 * 2 = $<<540*2=1080>>1080.
The total cost of the rental comes to $840 + 1080 = $<<840+1080=1920>>1920.
The payment required for each person comes to $1920 / 6 = $<<1920/6=320>>320.
#### 320<|endoftext|>"
1945,"<|endoftext|>Samanta is planning a party for her friend Marta. She decided to raise some money among the guests she invited, to buy Marta a gift. Every participant gave Samanta $5 for this purpose and she herself put in $10. The gift cost was lower than expected, so there was $15 leftover. What was the price of the gift, if there were 12 guests invited?: From all the guests Samanta got $5/guest * 12 guests = $<<5*12=60>>60.
Including money Samanta put herself, she had $60 + $10 = $<<60+10=70>>70.
The cost of the gift was $70 - $15 = $<<70-15=55>>55.
#### 55<|endoftext|>"
1946,"<|endoftext|>Ayla has a customer care job whose primary role is to hear complaints from customers and advise them on the best way to solve their problems. She talks with each customer for a limited amount of time, and each phone call is charged five cents per minute. If each call lasts 1 hour, what's the phone bill at the end of the month if she manages to talk to 50 customers a week?: An hour has 60 minutes.
If each call lasts an hour, the total amount of money charged is 60*.05 = $<<60*.05=3>>3 for 1 customer.
When she talks to 50 clients in a week, the total amount of money charged is 50*3 = $<<50*3=150>>150.
In a month of 4 weeks, the phone bill is 150*4 = $<<150*4=600>>600.
#### 600<|endoftext|>"
1947,"<|endoftext|>If you double a number and add 5 to the result, then that's 20 more than half of the original number. What's the original number?: Let x be the original number.
2*x+5=20+x/2
2*x-x/2=15
4*x-x=30
3*x=30
x=<<10=10>>10
#### 4<|endoftext|>"
1948,"<|endoftext|>Carter can read half as many pages as Lucy in 1 hour. Lucy can read 20 more pages than Oliver in 1 hour.  Oliver can read 40 pages.  How many pages can Carter read in 1 hour?: Lucy can read 20 more pages than Oliver who can read 40 pages so Lucy can read 40+20 = <<20+40=60>>60 pages
Carter can read half as many pages as Lucy who can read 60 pages so he can read 60/2 = <<30=30>>30 pages in 1 hour
#### 30<|endoftext|>"
1949,"<|endoftext|>The school is organizing a trip to the museum. 4 buses were hired to take the children and teachers to their destination. The second bus has twice the number of people on it as the first bus. The third bus has 6 fewer people than the second bus. The fourth bus has 9 more people than the first bus. If the first bus has 12 people, how many people are going to the museum in total?: The second bus is carrying 12 * 2 = <<12*2=24>>24 people.
The third bus has 24 – 6 = <<24-6=18>>18 people.
The fourth bus has 12 + 9 = <<12+9=21>>21 people on it.
In total, there are 12 + 24 + 18 + 21 = <<12+24+18+21=75>>75 people on the buses.
#### 75<|endoftext|>"
1950,"<|endoftext|>Chelsea made 4 batches of cupcakes for the bake sale. The cupcakes took 20 minutes to bake and 30 minutes to ice per batch. How long did it take Chelsea to make the cupcakes?: Chelsea baked 4 batches of cupcakes x 20 minutes each = <<4*20=80>>80 minutes of baking.
She iced 4 batches of cupcakes x 30 minutes each = <<4*30=120>>120 minutes.
It took Chelsea 80 + 120 = <<80+120=200>>200 minutes to make the cupcakes for the bake sale.
#### 200<|endoftext|>"
1951,"<|endoftext|>Nathan wants to line the inside of a box with velvet. The box has two long sides that measure 8 inches by 6 inches, two short sides that measure 5 inches by six inches and a top and a bottom that each measure 40 square inches. How many square inches of velvet does Nathan need?: First find the area of each long side by multiplying the length and width: 8 inches * 6 inches = <<8*6=48>>48 square inches
Then do the same thing for each short side: 5 inches * 6 inches = <<5*6=30>>30 square inches
Now add the area of one long side, one short side, and one top/bottom together: 48 square inches + 30 square inches + 40 square inches = <<48+30+40=118>>118 square inches
Now double that quantity because there are two of each kind of side: 118 square inches * 2 = <<118*2=236>>236 square inches
#### 236<|endoftext|>"
